DATE,CPIAUCNS
1/1/92,138.1
2/1/92,138.6
3/1/92,139.3
4/1/92,139.5
5/1/92,139.7
6/1/92,140.2
7/1/92,140.5
8/1/92,140.9
9/1/92,141.3
10/1/92,141.8
11/1/92,142
12/1/92,141.9
1/1/93,142.6
2/1/93,143.1
3/1/93,143.6
4/1/93,144
5/1/93,144.2
6/1/93,144.4
7/1/93,144.4
8/1/93,144.8
9/1/93,145.1
10/1/93,145.7
11/1/93,145.8
12/1/93,145.8
1/1/94,146.2
2/1/94,146.7
3/1/94,147.2
4/1/94,147.4
5/1/94,147.5
6/1/94,148
7/1/94,148.4
8/1/94,149
9/1/94,149.4
10/1/94,149.5
11/1/94,149.7
12/1/94,149.7
1/1/95,150.3
2/1/95,150.9
3/1/95,151.4
4/1/95,151.9
5/1/95,152.2
6/1/95,152.5
7/1/95,152.5
8/1/95,152.9
9/1/95,153.2
10/1/95,153.7
11/1/95,153.6
12/1/95,153.5
1/1/96,154.4
2/1/96,154.9
3/1/96,155.7
4/1/96,156.3
5/1/96,156.6
6/1/96,156.7
7/1/96,157
8/1/96,157.3
9/1/96,157.8
10/1/96,158.3
11/1/96,158.6
12/1/96,158.6
1/1/97,159.1
2/1/97,159.6
3/1/97,160
4/1/97,160.2
5/1/97,160.1
6/1/97,160.3
7/1/97,160.5
8/1/97,160.8
9/1/97,161.2
10/1/97,161.6
11/1/97,161.5
12/1/97,161.3
1/1/98,161.6
2/1/98,161.9
3/1/98,162.2
4/1/98,162.5
5/1/98,162.8
6/1/98,163
7/1/98,163.2
8/1/98,163.4
9/1/98,163.6
10/1/98,164
11/1/98,164
12/1/98,163.9
1/1/99,164.3
2/1/99,164.5
3/1/99,165
4/1/99,166.2
5/1/99,166.2
6/1/99,166.2
7/1/99,166.7
8/1/99,167.1
9/1/99,167.9
10/1/99,168.2
11/1/99,168.3
12/1/99,168.3
1/1/00,168.8
2/1/00,169.8
3/1/00,171.2
4/1/00,171.3
5/1/00,171.5
6/1/00,172.4
7/1/00,172.8
8/1/00,172.8
9/1/00,173.7
10/1/00,174
11/1/00,174.1
12/1/00,174
1/1/01,175.1
2/1/01,175.8
3/1/01,176.2
4/1/01,176.9
5/1/01,177.7
6/1/01,178
7/1/01,177.5
8/1/01,177.5
9/1/01,178.3
10/1/01,177.7
11/1/01,177.4
12/1/01,176.7
1/1/02,177.1
2/1/02,177.8
3/1/02,178.8
4/1/02,179.8
5/1/02,179.8
6/1/02,179.9
7/1/02,180.1
8/1/02,180.7
9/1/02,181
10/1/02,181.3
11/1/02,181.3
12/1/02,180.9
1/1/03,181.7
2/1/03,183.1
3/1/03,184.2
4/1/03,183.8
5/1/03,183.5
6/1/03,183.7
7/1/03,183.9
8/1/03,184.6
9/1/03,185.2
10/1/03,185
11/1/03,184.5
12/1/03,184.3
1/1/04,185.2
2/1/04,186.2
3/1/04,187.4
4/1/04,188
5/1/04,189.1
6/1/04,189.7
7/1/04,189.4
8/1/04,189.5
9/1/04,189.9
10/1/04,190.9
11/1/04,191
12/1/04,190.3
1/1/05,190.7
2/1/05,191.8
3/1/05,193.3
4/1/05,194.6
5/1/05,194.4
6/1/05,194.5
7/1/05,195.4
8/1/05,196.4
9/1/05,198.8
10/1/05,199.2
11/1/05,197.6
12/1/05,196.8
1/1/06,198.3
2/1/06,198.7
3/1/06,199.8
4/1/06,201.5
5/1/06,202.5
6/1/06,202.9
7/1/06,203.5
8/1/06,203.9
9/1/06,202.9
10/1/06,201.8
11/1/06,201.5
12/1/06,201.8
1/1/07,202.416
2/1/07,203.499
3/1/07,205.352
4/1/07,206.686
5/1/07,207.949
6/1/07,208.352
7/1/07,208.299
8/1/07,207.917
9/1/07,208.49
10/1/07,208.936
11/1/07,210.177
12/1/07,210.036
1/1/08,211.08
2/1/08,211.693
3/1/08,213.528
4/1/08,214.823
5/1/08,216.632
6/1/08,218.815
7/1/08,219.964
8/1/08,219.086
9/1/08,218.783
10/1/08,216.573
11/1/08,212.425
12/1/08,210.228
1/1/09,211.143
2/1/09,212.193
3/1/09,212.709
4/1/09,213.24
5/1/09,213.856
6/1/09,215.693
7/1/09,215.351
8/1/09,215.834
9/1/09,215.969
10/1/09,216.177
11/1/09,216.33
12/1/09,215.949
1/1/10,216.687
2/1/10,216.741
3/1/10,217.631
4/1/10,218.009
5/1/10,218.178
6/1/10,217.965
7/1/10,218.011
8/1/10,218.312
9/1/10,218.439
10/1/10,218.711
11/1/10,218.803
12/1/10,219.179
1/1/11,220.223
2/1/11,221.309
3/1/11,223.467
4/1/11,224.906
5/1/11,225.964
6/1/11,225.722
7/1/11,225.922
8/1/11,226.545
9/1/11,226.889
10/1/11,226.421
11/1/11,226.23
12/1/11,225.672
1/1/12,226.665
2/1/12,227.663
3/1/12,229.392
4/1/12,230.085
5/1/12,229.815
6/1/12,229.478
7/1/12,229.104
8/1/12,230.379
9/1/12,231.407
10/1/12,231.317
11/1/12,230.221
12/1/12,229.601
1/1/13,230.28
2/1/13,232.166
3/1/13,232.773
4/1/13,232.531
5/1/13,232.945
6/1/13,233.504
7/1/13,233.596
8/1/13,233.877
9/1/13,234.149
10/1/13,233.546
11/1/13,233.069
12/1/13,233.049
1/1/14,233.916
2/1/14,234.781
3/1/14,236.293
4/1/14,237.072
5/1/14,237.9
6/1/14,238.343
7/1/14,238.25
8/1/14,237.852
9/1/14,238.031
10/1/14,237.433
11/1/14,236.151
12/1/14,234.812
