t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
3.083579302,2.8841435910000004,2.8841435910000004,3.377686024,3.223591328,2.907552719,2.733732939,2.019471407,1.319170237,1.482031703,1.427534819,1.74292016,2.191099882
2.8841435910000004,2.8841435910000004,3.377686024,3.223591328,2.907552719,2.733732939,2.019471407,1.319170237,1.482031703,1.427534819,1.74292016,2.191099882,2.340253592
2.8841435910000004,3.377686024,3.223591328,2.907552719,2.733732939,2.019471407,1.319170237,1.482031703,1.427534819,1.74292016,2.191099882,2.340253592,2.761164904
3.377686024,3.223591328,2.907552719,2.733732939,2.019471407,1.319170237,1.482031703,1.427534819,1.74292016,2.191099882,2.340253592,2.761164904,2.879018784
3.223591328,2.907552719,2.733732939,2.019471407,1.319170237,1.482031703,1.427534819,1.74292016,2.191099882,2.340253592,2.761164904,2.879018784,2.909007549
2.907552719,2.733732939,2.019471407,1.319170237,1.482031703,1.427534819,1.74292016,2.191099882,2.340253592,2.761164904,2.879018784,2.909007549,3.487406015
2.733732939,2.019471407,1.319170237,1.482031703,1.427534819,1.74292016,2.191099882,2.340253592,2.761164904,2.879018784,2.909007549,3.487406015,3.606489897
2.019471407,1.319170237,1.482031703,1.427534819,1.74292016,2.191099882,2.340253592,2.761164904,2.879018784,2.909007549,3.487406015,3.606489897,3.486269474
1.319170237,1.482031703,1.427534819,1.74292016,2.191099882,2.340253592,2.761164904,2.879018784,2.909007549,3.487406015,3.606489897,3.486269474,3.400402546
1.482031703,1.427534819,1.74292016,2.191099882,2.340253592,2.761164904,2.879018784,2.909007549,3.487406015,3.606489897,3.486269474,3.400402546,2.902363062
1.427534819,1.74292016,2.191099882,2.340253592,2.761164904,2.879018784,2.909007549,3.487406015,3.606489897,3.486269474,3.400402546,2.902363062,2.9634287360000005
1.74292016,2.191099882,2.340253592,2.761164904,2.879018784,2.909007549,3.487406015,3.606489897,3.486269474,3.400402546,2.902363062,2.9634287360000005,3.904750109
