Month,furniture_price_adjusted
1/1/92,2073.432724
2/1/92,2114.485812
3/1/92,2260.570891
4/1/92,2255.103236
5/1/92,2331.414618
6/1/92,2384.638567
7/1/92,2417.165376
8/1/92,2445.498729
9/1/92,2387.351705
10/1/92,2489.350838
11/1/92,2598.186297
12/1/92,2928.725684
1/1/93,2284.619439
2/1/93,2183.137948
3/1/93,2449.195623
4/1/93,2457.704334
5/1/93,2552.87495
6/1/93,2575.018055
7/1/93,2639.280765
8/1/93,2675.420536
9/1/93,2617.522183
10/1/93,2715.938414
11/1/93,2935.795847
12/1/93,3205.014815
1/1/94,2293.212472
2/1/94,2370.922974
3/1/94,2773.780552
4/1/94,2704.471016
5/1/94,2802.466027
6/1/94,2864.542221
7/1/94,2885.029337
8/1/94,3115.40008
9/1/94,3034.529846
10/1/94,3109.513158
11/1/94,3350.938667
12/1/94,3684.629979
1/1/95,2727.755982
2/1/95,2597.854474
3/1/95,3004.819625
4/1/95,2857.008678
5/1/95,3086.648631
6/1/95,3093.328024
7/1/95,3089.756052
8/1/95,3286.477645
9/1/95,3240.296532
10/1/95,3303.073067
11/1/95,3651.703421
12/1/95,3840.481182
1/1/96,2885.94751
2/1/96,2922.504597
3/1/96,3288.310867
4/1/96,3239.966271
5/1/96,3425.30596
6/1/96,3351.639399
7/1/96,3476.957851
8/1/96,3618.696445
9/1/96,3442.929252
10/1/96,3689.285254
11/1/96,3977.986501
12/1/96,4169.301338
1/1/97,3298.628987
2/1/97,3187.50161
3/1/97,3569.630037
4/1/97,3545.949618
5/1/97,3756.235336
6/1/97,3632.643142
7/1/97,3776.271564
8/1/97,3931.474346
9/1/97,3834.90383
10/1/97,4017.904365
11/1/97,4275.168742
12/1/97,4756.618689
1/1/98,3672.827636
2/1/98,3527.328126
3/1/98,3901.750852
4/1/98,3830.30594
5/1/98,3956.222844
6/1/98,4015.170147
7/1/98,4119.484231
8/1/98,4147.496301
9/1/98,4042.08447
10/1/98,4285.008257
11/1/98,4600.63788
12/1/98,5181.359379
1/1/99,3798.332299
2/1/99,3850.476849
3/1/99,4373.616593
4/1/99,4204.942204
5/1/99,4336.650778
6/1/99,4446.299788
7/1/99,4529.958503
8/1/99,4722.82666
